dataset,video,ground_truth,pred_A,pred_B,pred_C,wrong_label,hit_A,hit_B,hit_C
Something-Something v2,204606.webm,Poking something so it slightly moves,Holding something,Poking something so it slightly moves.,Holding something in front of something,Holding something in front of something,0,1,0
Something-Something v2,179591.webm,Opening something,Closing something,Opening something,Holding something,Taking something out of something,0,1,0
Something-Something v2,170098.webm,Lifting a surface with something on it but not enough for it to slide down,Closing something,Lifting a surface with something on it but not enough for it to slide down,Bending something until it breaks,Trying to bend something unbendable so nothing happens,0,1,0
Something-Something v2,83088.webm,Pulling something from behind of something,Picking something up,Pulling something from behind of something,Failing to put something into something because something does not fit,Failing to put something into something because something does not fit,0,1,0
Something-Something v2,107999.webm,Pushing something from right to left,Holding something,Pushing something from right to left,Holding something,Moving something and something so they collide with each other,0,1,0
Something-Something v2,201174.webm,Stacking number of something,Closing something,Stacking number of something,Moving something and something so they collide with each other.,Moving something and something so they collide with each other,0,1,0
Something-Something v2,198146.webm,Pulling two ends of something so that it separates into two pieces,Holding something,Pulling two ends of something so that it separates into two pieces.,Holding something,Stuffing something into something,0,1,0
Something-Something v2,42785.webm,Tilting something with something on it until it falls off,Dropping something onto something,Lifting a surface with something on it until it starts sliding down,Pretending to scoop something up with something,Pretending to scoop something up with something,0,0,0
Something-Something v2,2088.webm,"Putting something that cant roll onto a slanted surface, so it slides down",Holding something,"Putting something that cant roll onto a slanted surface, so it slides down","Laying something on the table on its side, not upright","Laying something on the table on its side, not upright",0,1,0
Something-Something v2,188275.webm,Pretending to close something without actually closing it,Opening something,Pretending to close something without actually closing it.,Pretending or failing to wipe something off of something,Pretending or failing to wipe something off of something,0,1,0
Something-Something v2,187511.webm,Approaching something with your camera,Opening something,Approaching something with your camera,"Lifting up one end of something, then letting it drop down.","Lifting up one end of something, then letting it drop down",0,1,0
Something-Something v2,54394.webm,"Putting something that cant roll onto a slanted surface, so it slides down",Covering something with something,"Putting something that cant roll onto a slanted surface, so it slides down",Pretending to squeeze something,Squeezing something,0,1,0
Something-Something v2,169010.webm,Spilling something onto something,Pouring something into something,Pouring something onto something,Pouring something into something,Putting something into something,0,0,0
Something-Something v2,202387.webm,Closing something,Holding something,Closing something,Holding something,Tilting something with something on it slightly so it doesnt fall down,0,1,0
Something-Something v2,94437.webm,Sprinkling something onto something,Covering something with something,Sprinkling something onto something,Holding something,Throwing something in the air and catching it,0,1,0
Something-Something v2,155536.webm,"Letting something roll up a slanted surface, so it rolls back down",Holding something,"Letting something roll up a slanted surface, so it rolls back down","Tipping something with something in it over, so something in it falls out","Tipping something with something in it over, so something in it falls out",0,1,0
Something-Something v2,3066.webm,Pretending to put something next to something,Picking something up,Pretending to put something next to something,Poking a stack of something so the stack collapses,Poking something so that it falls over,0,1,0
Something-Something v2,3502.webm,Plugging something into something,Attaching something to something,Plugging something into something,Plugging something into something,Something falling like a feather or paper,0,1,1
Something-Something v2,149701.webm,Putting something similar to other things that are already on the table,Holding something,Putting something similar to other things that are already on the table.,Pushing something so it spins.,Pushing something so it spins,0,1,0
Something-Something v2,88366.webm,Putting something underneath something,Holding something,Putting something underneath something,"Putting something that cannot actually stand upright upright on the table, so it falls on its side.","Putting something that cannot actually stand upright upright on the table, so it falls on its side",0,1,0
Something-Something v2,171546.webm,Pretending to scoop something up with something,Opening something,Pretending to scoop something up with something.,Holding something,Putting something similar to other things that are already on the table,0,1,0
Something-Something v2,182782.webm,Squeezing something,Holding something,Squeezing something,Pretending to put something underneath something,Pretending to put something underneath something,0,1,0
Something-Something v2,169274.webm,Turning the camera right while filming something,Dropping something onto something,Turning the camera right while filming something,Pretending to be tearing something that is not tearable,Tearing something just a little bit,0,1,0
Something-Something v2,215118.webm,Pushing something so that it slightly moves,Holding something,Pushing something so that it slightly moves.,Putting something on the edge of something so it is not supported and falls down.,Putting something on the edge of something so it is not supported and falls down,0,1,0
Something-Something v2,30863.webm,Stacking number of something,Bending something until it breaks,Stacking number of something,Pretending to spread air onto something,Pretending to spread air onto something,0,1,0
Something-Something v2,46235.webm,Moving something towards the camera,Holding something,Moving something towards the camera,Holding something,Taking one of many similar things on the table,0,1,0
Something-Something v2,149883.webm,Poking something so it slightly moves,Biting,Poking something so it slightly moves,"Tipping something with something in it over, so something in it falls out","Tipping something with something in it over, so something in it falls out",0,1,0
Something-Something v2,114548.webm,Pretending to put something underneath something,Opening something,Pretending to put something underneath something,Hitting something with something,Hitting something with something,0,1,0
Something-Something v2,18314.webm,Failing to put something into something because something does not fit,Opening something,Opening something,Tilting something with something on it until it falls off,Tilting something with something on it until it falls off,0,0,0
Something-Something v2,127004.webm,Burying something in something,Holding something,Burying something in something,Lifting a surface with something on it until it starts sliding down,Lifting a surface with something on it until it starts sliding down,0,1,0
Something-Something v2,43046.webm,Twisting something,Holding something,Twisting something,Poking a stack of something so the stack collapses,Poking a stack of something so the stack collapses,0,1,0
Something-Something v2,139574.webm,Pretending to put something on a surface,Holding something,Pretending to put something on a surface.,Holding something,Trying but failing to attach something to something because it doesnt stick,0,1,0
Something-Something v2,28439.webm,Letting something roll along a flat surface,Holding something,Letting something roll along a flat surface,Poking something so it slightly moves,Poking something so it slightly moves,0,1,0
Something-Something v2,159173.webm,Throwing something,Dropping something into something,Throwing something.,Pretending to open something without actually opening it.,Pretending to open something without actually opening it,0,1,0
Something-Something v2,460.webm,Turning the camera right while filming something,Dropping something into something,Turning the camera right while filming something,Twisting something,Twisting something,0,1,0
Something-Something v2,21554.webm,Folding something,Holding something,Folding something,"Laying something on the table on its side, not upright","Laying something on the table on its side, not upright",0,1,0
Something-Something v2,202158.webm,Bending something until it breaks,Holding something,Bending something until it breaks,Holding something,Moving something away from the camera,0,1,0
Something-Something v2,12042.webm,Rolling something on a flat surface,"Laying something on the table on its side, not upright",Rolling something on a flat surface,Pouring something onto something,Pouring something onto something,0,1,0
Something-Something v2,132831.webm,Pretending to pick something up,Hitting something with something,Pretending to pick something up.,Moving something towards the camera,Moving something towards the camera,0,1,0
Something-Something v2,97212.webm,Putting something next to something,No action,Putting something next to something,Sprinkling something onto something,Sprinkling something onto something,0,1,0
Something-Something v2,129400.webm,Pulling something from left to right,Holding something,Pulling something from left to right,Holding something next to something,Holding something next to something,0,1,0
Something-Something v2,196647.webm,Rolling something on a flat surface,None,Rolling something on a flat surface,Moving something away from something,Moving something away from something,0,1,0
Something-Something v2,127269.webm,Pretending to be tearing something that is not tearable,Folding something,Pretending to be tearing something that is not tearable,Folding something,Approaching something with your camera,0,1,0
Something-Something v2,195451.webm,Pretending to take something out of something,Picking something up,Pretending to take something out of something,Putting something in front of something,Putting something in front of something,0,1,0
Something-Something v2,32612.webm,Moving something towards the camera,Holding something,Moving something towards the camera,Holding something,"Putting something that cant roll onto a slanted surface, so it slides down",0,1,0
Something-Something v2,138082.webm,"Removing something, revealing something behind",Holding something,Holding something,Holding something,Throwing something in the air and catching it,0,0,0
Something-Something v2,50847.webm,Pushing something so that it almost falls off but doesnt,Holding something,Pushing something so that it almost falls off but doesnt.,Holding something,"Removing something, revealing something behind",0,1,0
Something-Something v2,172037.webm,Dropping something behind something,No action,Dropping something behind something,Pretending to put something onto something,Pretending to put something onto something,0,1,0
Something-Something v2,1367.webm,Putting something on the edge of something so it is not supported and falls down,Covering something with something,Putting something on the edge of something so it is not supported and falls down.,Dropping something behind something,Dropping something behind something,0,1,0
Something-Something v2,203185.webm,Moving something across a surface without it falling down,Poking a stack of something so the stack collapses,Moving something across a surface without it falling down,Pouring something into something until it overflows,Pouring something into something until it overflows,0,1,0
Something-Something v2,34397.webm,Moving something closer to something,Holding something,Moving something closer to something,Pretending to put something on a surface,Pretending to put something on a surface,0,1,0
Something-Something v2,46393.webm,Showing something to the camera,Seesawing,"Lifting something up completely, then letting it drop down",Pretending to put something into something,Pretending to put something into something,0,0,0
Something-Something v2,129304.webm,"Letting something roll up a slanted surface, so it rolls back down",Letting something roll along a flat surface,"Letting something roll up a slanted surface, so it rolls back down","Putting something that cant roll onto a slanted surface, so it stays where it is.","Putting something that cant roll onto a slanted surface, so it stays where it is",0,1,0
Something-Something v2,41586.webm,Pretending to turn something upside down,Dropping something onto something,Pretending to turn something upside down.,Holding something in front of something,Holding something in front of something,0,1,0
Something-Something v2,88590.webm,Bending something until it breaks,Bending something until it breaks,Bending something until it breaks,Holding something,Pouring something into something until it overflows,1,1,0
Something-Something v2,156479.webm,Taking something from somewhere,Holding something,Holding something,Pretending to open something without actually opening it.,Pretending to open something without actually opening it,0,0,0
Something-Something v2,14923.webm,Lifting something with something on it,Holding something,Lifting something with something on it,Trying but failing to attach something to something because it doesnt stick,Trying but failing to attach something to something because it doesnt stick,0,1,0
Something-Something v2,91203.webm,Putting something onto a slanted surface but it doesnt glide down,Holding something,Putting something onto a slanted surface but it doesnt glide down,Holding something,Throwing something,0,1,0
Something-Something v2,20099.webm,Pushing something with something,Holding something,Pushing something with something,Twisting something,Twisting something,0,1,0
Something-Something v2,180773.webm,Something colliding with something and both come to a halt,Holding something,Holding something,Holding something,Plugging something into something but pulling it right out as you remove your hand,0,0,0
Something-Something v2,38218.webm,Moving something and something so they pass each other,Holding something,Holding something,Holding something,Putting something on a surface,0,0,0
Something-Something v2,155792.webm,Pulling something out of something,Holding something,Pulling something out of something,Lifting something with something on it,Lifting something with something on it,0,1,0
Something-Something v2,196006.webm,"Putting something that cant roll onto a slanted surface, so it stays where it is",Holding something,"Putting something that cant roll onto a slanted surface, so it stays where it is.",Holding something,Spinning something that quickly stops spinning,0,1,0
Something-Something v2,211502.webm,Poking a hole into some substance,Cutting,Poking a hole into some substance,Poking a hole into something soft,Poking something so that it spins around,0,1,0
Something-Something v2,12045.webm,Poking something so lightly that it doesnt or almost doesnt move,Pointing,Poking something so lightly that it doesn't or almost doesn't move.,Poking a hole into something soft,Turning the camera left while filming something,0,0,0
Something-Something v2,123967.webm,"Putting something, something and something on the table",Dropping something onto something,"Putting something, something and something on the table",Moving something and something so they collide with each other.,Moving something and something so they collide with each other,0,1,0
Something-Something v2,6555.webm,Dropping something in front of something,Holding something,Dropping something in front of something,Pretending to poke something,Pretending to poke something,0,1,0
Something-Something v2,7013.webm,Pushing something so it spins,Spin,Pushing something so it spins,Letting something roll along a flat surface,Moving something and something away from each other,1,1,0
Something-Something v2,134232.webm,Lifting something up completely without letting it drop down,Holding something,Holding something,Holding something in front of something,Holding something in front of something,0,0,0
Something-Something v2,77372.webm,Moving something away from something,Holding something,Holding something,Hitting something with something,Hitting something with something,0,0,0
Something-Something v2,80682.webm,Pretending to pick something up,Holding something,Pretending to pick something up,Moving something closer to something,Moving something closer to something,0,1,0
Something-Something v2,149671.webm,Turning the camera left while filming something,Holding something,Turning the camera left while filming something,Pretending to spread air onto something,Pretending to spread air onto something,0,1,0
Something-Something v2,117657.webm,Putting something in front of something,Holding something,Putting something in front of something,Holding something,Throwing something in the air and catching it,0,1,0
Something-Something v2,95297.webm,Throwing something,Folding something,Pretending to throw something,Stuffing something into something,Stuffing something into something,0,0,0
Something-Something v2,211192.webm,Moving something up,Holding something,Lifting something up,Pretending to put something on a surface.,Pretending to put something on a surface,0,0,0
Something-Something v2,23251.webm,Covering something with something,Holding something,Covering something with something,"Putting something onto a slanted surface, so it slides down",Putting something onto something else that cannot support it so it falls down,0,1,0
Something-Something v2,164738.webm,Putting something in front of something,Holding something,Holding something in front of something,"Lifting up one end of something, then letting it drop down","Lifting up one end of something, then letting it drop down",0,0,0
Something-Something v2,100461.webm,Moving something up,Holding something,Lifting something up,"Putting something, something and something on the table","Putting something, something and something on the table",0,0,0
Something-Something v2,26981.webm,Moving something away from the camera,Opening something,Moving something away from the camera,Pretending to spread air onto something,Pretending to spread air onto something,0,1,0
Something-Something v2,20120.webm,Pouring something into something until it overflows,Pouring something into something,Pouring something into something,Pouring something into something,Putting something behind something,1,1,1
Something-Something v2,173047.webm,Touching (without moving) part of something,Holding something,Touching (without moving) part of something,Pretending to poke something,Pretending to poke something,0,1,0
Something-Something v2,217101.webm,Putting something behind something,Holding something,Putting something behind something,Showing that something is empty,Showing that something is empty,0,1,0
Something-Something v2,6063.webm,Pulling two ends of something but nothing happens,Holding something,Pulling two ends of something but nothing happens,Holding something,Spinning something so it continues spinning,0,1,0
Something-Something v2,94466.webm,Lifting a surface with something on it until it starts sliding down,No action,Lifting a surface with something on it until it starts sliding down,Showing something on top of something,Showing something on top of something,0,1,0
Something-Something v2,46288.webm,Pretending or failing to wipe something off of something,Wiping,Pretending or failing to wipe something off of something,Pretending to be tearing something that is not tearable,Putting something onto something else that cannot support it so it falls down,0,1,0
Something-Something v2,79251.webm,Tipping something over,Holding something,Tipping something over.,Holding something over something,Holding something over something,0,1,0
Something-Something v2,179120.webm,Pulling two ends of something so that it gets stretched,Folding something,Pulling two ends of something so that it gets stretched.,Dropping something in front of something,Throwing something in the air and letting it fall,0,1,0
Something-Something v2,42525.webm,Dropping something into something,Dropping something into something,Dropping something into something,Dropping something next to something,Dropping something next to something,1,1,0
Something-Something v2,141220.webm,Pushing something from left to right,Holding something,Pushing something from left to right,Putting something onto a slanted surface but it doesnt glide down,Putting something onto a slanted surface but it doesnt glide down,0,1,0
Something-Something v2,124414.webm,Pretending to spread air onto something,Closing something,Pretending to spread air onto something,Pretending to throw something,Pretending to throw something,0,1,0
Something-Something v2,220283.webm,Dropping something into something,No action,Dropping something into something,Dropping something onto something,Throwing something onto a surface,0,1,0
Something-Something v2,17961.webm,Moving away from something with your camera,None,Moving away from something with your camera,Pretending to be tearing something that is not tearable,Pretending to be tearing something that is not tearable,0,1,0
Something-Something v2,196226.webm,Putting something on the edge of something so it is not supported and falls down,Opening something,Putting something on the edge of something so it is not supported and falls down.,Covering something with something,Covering something with something,0,1,0
Something-Something v2,134083.webm,Moving something and something closer to each other,Attaching something to something,Moving something and something closer to each other,Holding something,Letting something roll down a slanted surface,0,1,0
Something-Something v2,13369.webm,Tearing something into two pieces,Holding something,Pretending to be tearing something that is not tearable,Poking something so that it spins around.,Poking something so that it spins around,0,0,0
Something-Something v2,210578.webm,Turning the camera upwards while filming something,No action,Turning the camera upwards while filming something,Wiping something off of something,Wiping something off of something,0,1,0
Something-Something v2,79327.webm,Dropping something in front of something,Dropping something into something,Dropping something in front of something,Dropping something into something,Taking something out of something,0,1,0
Something-Something v2,205140.webm,Spinning something so it continues spinning,Holding something,Spinning something so it continues spinning,Holding something,Throwing something,0,1,0
Something-Something v2,10795.webm,Moving something and something so they collide with each other,Opening something,Moving something and something so they collide with each other.,Closing something,Closing something,0,1,0
Something-Something v2,118370.webm,Holding something next to something,Holding something,Holding something next to something,Holding something,Wiping something off of something,1,1,1
Something-Something v2,60079.webm,"Lifting something up completely, then letting it drop down",Holding something,"Lifting something up completely, then letting it drop down.",Pretending to poke something,Pretending to poke something,0,1,0
Something-Something v2,108269.webm,Turning something upside down,Pouring something onto something,Turning something upside down,Pretending to take something from somewhere,Taking something from somewhere,0,1,0
Something-Something v2,5639.webm,Squeezing something,Holding something,Pretending to squeeze something,Dropping something into something,Dropping something into something,0,0,0
Something-Something v2,18974.webm,Putting something on a surface,No action,Putting something on a surface,Moving something towards the camera,Moving something towards the camera,0,1,0
Something-Something v2,4193.webm,Spreading something onto something,Pouring,Spreading something onto something,"Putting something, something and something on the table","Putting something, something and something on the table",0,1,0
Something-Something v2,90751.webm,Putting something onto something else that cannot support it so it falls down,Holding something,"Putting something onto a slanted surface, so it slides down",Holding something,Something colliding with something and both come to a halt,0,0,0
Something-Something v2,129797.webm,Moving something away from the camera,Holding something,Holding something,Holding something,Turning the camera right while filming something,0,0,0
Something-Something v2,63001.webm,Pretending to open something without actually opening it,Poking a hole into some substance,Pretending to open something without actually opening it.,Holding something,Putting something similar to other things that are already on the table,0,1,0
Something-Something v2,200424.webm,Moving part of something,Attaching something to something,Plugging something into something,Plugging something into something,Pretending to put something into something,0,0,0
Something-Something v2,97771.webm,Pulling something from behind of something,Closing something,Pulling something from behind of something,Opening something,Opening something,0,1,0
Something-Something v2,159988.webm,Approaching something with your camera,No action,Approaching something with your camera,Pretending to be tearing something that is not tearable,Tearing something just a little bit,0,1,0
Something-Something v2,73238.webm,Dropping something next to something,Holding something,Dropping something next to something,Putting something onto something,Putting something onto something,0,1,0
Something-Something v2,47719.webm,"Pretending to pour something out of something, but something is empty",Pouring something into something,"Pretending to pour something out of something, but something is empty.",Pouring something into something,"Trying to pour something into something, but missing so it spills next to it",0,1,0
Something-Something v2,76278.webm,Putting something on a flat surface without letting it roll,Holding something,Putting something on a flat surface without letting it roll.,Holding something next to something,Showing something next to something,0,1,0
Something-Something v2,66430.webm,Letting something roll down a slanted surface,Dropping something onto something,Letting something roll down a slanted surface,"Letting something roll up a slanted surface, so it rolls back down","Letting something roll up a slanted surface, so it rolls back down",0,1,0
Something-Something v2,70550.webm,Failing to put something into something because something does not fit,None,Failing to put something into something because something does not fit,"Removing something, revealing something behind","Removing something, revealing something behind",0,1,0
Something-Something v2,150510.webm,Pretending or trying and failing to twist something,Folding something,Pretending or failing to twist something,Pulling two ends of something but nothing happens,Pulling two ends of something but nothing happens,0,0,0
Something-Something v2,177795.webm,Showing something behind something,No action,Showing something behind something,Putting something behind something,Putting something behind something,0,1,0
Something-Something v2,112499.webm,Showing that something is empty,Holding something,Showing that something is empty,Holding something,Pulling something from behind of something,0,1,0
Something-Something v2,143598.webm,Trying to bend something unbendable so nothing happens,Bending something until it breaks,Trying to bend something unbendable so nothing happens,Pretending to take something out of something,Pretending to take something out of something,0,1,0
Something-Something v2,139991.webm,Poking a hole into something soft,Holding something,Poking a hole into something soft,Unfolding something,Unfolding something,0,1,0
Something-Something v2,174029.webm,Pulling something from right to left,Holding something,Pulling something from right to left,Lifting a surface with something on it until it starts sliding down,Lifting a surface with something on it until it starts sliding down,0,1,0
Something-Something v2,108734.webm,Poking a stack of something so the stack collapses,None,Poking a stack of something so the stack collapses,Moving something away from the camera,Moving something away from the camera,0,1,0
Something-Something v2,131345.webm,Throwing something in the air and letting it fall,Dropping something onto something,Dropping something in front of something,Pretending to turn something upside down.,Pretending to turn something upside down,0,0,0
Something-Something v2,169008.webm,Pretending to put something into something,Holding something,Pretending to put something into something,Putting something into something,Putting something into something,0,1,0
Something-Something v2,134021.webm,Pretending to poke something,None,Pretending to poke something,Showing something on top of something,Showing something on top of something,0,1,0
Something-Something v2,68904.webm,Moving something and something so they pass each other,Holding something,Moving something and something so they pass each other.,Pretending to put something on a surface.,Pretending to put something on a surface,0,1,0
Something-Something v2,153808.webm,Turning something upside down,Holding something,Pretending to turn something upside down,Twisting something.,Twisting something,0,0,0
Something-Something v2,34333.webm,Lifting something up completely without letting it drop down,Holding something,Holding something,Holding something,Putting something and something on the table,0,0,0
Something-Something v2,48603.webm,Lifting something with something on it,Holding something,Lifting something with something on it,Holding something,Spreading something onto something,0,1,0
Something-Something v2,10275.webm,Uncovering something,Folding something,Uncovering something,Holding something,Dropping something in front of something,0,1,0
Something-Something v2,187534.webm,Moving something across a surface until it falls down,Holding something,Moving something across a surface until it falls down.,"Putting something that cant roll onto a slanted surface, so it stays where it is.","Putting something that cant roll onto a slanted surface, so it stays where it is",0,1,0
Something-Something v2,158704.webm,Lifting a surface with something on it until it starts sliding down,No action,Lifting a surface with something on it until it starts sliding down,Letting something roll along a flat surface,Letting something roll along a flat surface,0,1,0
Something-Something v2,52688.webm,Pretending to put something underneath something,Holding something,Pretending to put something underneath something,Pretending to take something from somewhere,Pretending to take something from somewhere,0,1,0
Something-Something v2,110662.webm,Spreading something onto something,Holding something,Pretending to spread air onto something,Pretending or trying and failing to twist something,Pretending or trying and failing to twist something,0,0,0
Something-Something v2,140235.webm,Bending something so that it deforms,Bending something until it breaks,Bending something so that it deforms,Pretending to throw something,Pretending to throw something,0,1,0
Something-Something v2,639.webm,Tilting something with something on it slightly so it doesnt fall down,Holding something,"Lifting a surface with something on it, then letting it drop down",Lifting something with something on it,Lifting something with something on it,0,0,0
Something-Something v2,206143.webm,Pretending to scoop something up with something,Pouring something into something,Pretending to scoop something up with something.,Pouring something into something,Putting something behind something,0,1,0
Something-Something v2,168885.webm,Spinning something so it continues spinning,Rolling something on a flat surface,Letting something roll along a flat surface,Letting something roll along a flat surface,Something being deflected from something,0,0,0
Something-Something v2,192464.webm,Putting something onto something,Holding something,Putting something onto something,Holding something,Approaching something with your camera,0,1,0
Something-Something v2,184576.webm,Moving something away from something,Closing something,Moving something away from something,Twisting (wringing) something wet until water comes out,Twisting (wringing) something wet until water comes out,0,1,0
Something-Something v2,153681.webm,Pretending to put something into something,Closing something,Pretending to put something into something,Holding something,Spinning something so it continues spinning,0,1,0
Something-Something v2,80973.webm,Pushing something from right to left,Holding something,Holding something,Putting something upright on the table,Putting something upright on the table,0,0,0
Something-Something v2,132867.webm,Pouring something out of something,Pouring something into something,Pouring something out of something,Pouring something into something,Putting something into something,0,1,0
Something-Something v2,31009.webm,Holding something behind something,Holding something,Holding something behind something,Failing to put something into something because something does not fit,Failing to put something into something because something does not fit,1,1,0
Something-Something v2,996.webm,Pulling something out of something,Pouring something into something,Pulling something out of something,Piling something up,Piling something up,0,1,0
Something-Something v2,5464.webm,Moving part of something,"Laying something on the table on its side, not upright",Moving part of something,Dropping something onto something,Something colliding with something and both come to a halt,0,1,0
Something-Something v2,164150.webm,Pretending to open something without actually opening it,Hitting something with something,Pretending to open something without actually opening it.,Pushing something from left to right,Pushing something from left to right,0,1,0
Something-Something v2,6817.webm,Showing that something is empty,Holding something,Showing that something is empty,Holding something,Touching (without moving) part of something,0,1,0
Something-Something v2,96041.webm,Poking a stack of something without the stack collapsing,Holding something,Poking a stack of something without the stack collapsing,Holding something,Showing something to the camera,0,1,0
Something-Something v2,189179.webm,Spilling something next to something,Holding something,Dropping something next to something,Holding something,Trying but failing to attach something to something because it doesnt stick,0,0,0
Something-Something v2,17580.webm,Holding something in front of something,Holding something,Holding something in front of something,Putting something similar to other things that are already on the table.,Putting something similar to other things that are already on the table,1,1,0
Something-Something v2,70272.webm,Lifting a surface with something on it but not enough for it to slide down,Holding something,Lifting a surface with something on it but not enough for it to slide down,Failing to put something into something because something does not fit,Failing to put something into something because something does not fit,0,1,0
